"","Protein","gene_id","description","gene_name","fc","p.value","adj.p.value"
"MIPEP","MIPEP","ENSG00000027001.9","mitochondrial intermediate peptidase [Source:HGNC Symbol;Acc:HGNC:7104]","MIPEP",-0.17360314111714,2.87754209334749e-05,0.00631780352939404
"ACTR2","ACTR2","ENSG00000138071.13","ARP2 actin related protein 2 homolog [Source:HGNC Symbol;Acc:HGNC:169]","ACTR2",-0.175518502700417,0.000569134564626651,0.0193791003753621
"ARPC2","ARPC2","ENSG00000163466.15","actin related protein 2/3 complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:705]","ARPC2",-0.175988950044049,0.00257337855751842,0.0349146825053385
"SYTL4","SYTL4","ENSG00000102362.15","synaptotagmin like 4 [Source:HGNC Symbol;Acc:HGNC:15588]","SYTL4",-0.176779284844475,0.00440021076845455,0.0433362510810529
"MIF","MIF","ENSG00000276701.2","macrophage migration inhibitory factor [Source:HGNC Symbol;Acc:HGNC:7097]","MIF",-0.177659930490453,0.00241529490497749,0.0343354153398239
"NNT","NNT","ENSG00000112992.16","nicotinamide nucleotide transhydrogenase [Source:HGNC Symbol;Acc:HGNC:7863]","NNT",-0.177869363818262,0.0039151060601957,0.0413984232029796
"PRIM2","PRIM2","ENSG00000146143.17","DNA primase subunit 2 [Source:HGNC Symbol;Acc:HGNC:9370]","PRIM2",-0.178757182288902,0.00316207913797553,0.0375835691827949
"COMMD4","COMMD4","ENSG00000140365.15","COMM domain containing 4 [Source:HGNC Symbol;Acc:HGNC:26027]","COMMD4",-0.179281232268367,0.00460087720561933,0.0442388503178604
"LMAN1","LMAN1","ENSG00000074695.5","lectin, mannose binding 1 [Source:HGNC Symbol;Acc:HGNC:6631]","LMAN1",-0.179443058490463,0.0031173639257081,0.0372763153839589
"DMTN","DMTN","ENSG00000158856.18","dematin actin binding protein [Source:HGNC Symbol;Acc:HGNC:3382]","DMTN",-0.179500127508243,0.00164701489174982,0.0298578112486022
"GMIP","GMIP","ENSG00000089639.10","GEM interacting protein [Source:HGNC Symbol;Acc:HGNC:24852]","GMIP",-0.179536784895923,0.00267614878023441,0.0351951413626835
"TDP1","TDP1","ENSG00000042088.13","tyrosyl-DNA phosphodiesterase 1 [Source:HGNC Symbol;Acc:HGNC:18884]","TDP1",-0.179590153984307,0.000230289185725867,0.0136262526768285
"PRKAB1","PRKAB1","ENSG00000111725.10","protein kinase AMP-activated non-catalytic subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:9378]","PRKAB1",-0.179664496751358,0.00149888622542964,0.0289662511633151
"PYCARD","PYCARD","ENSG00000103490.13","PYD and CARD domain containing [Source:HGNC Symbol;Acc:HGNC:16608]","PYCARD",-0.180011398482669,0.0016795148857489,0.0299630841104687
"HSD17B7","HSD17B7","ENSG00000132196.13","hydroxysteroid 17-beta dehydrogenase 7 [Source:HGNC Symbol;Acc:HGNC:5215]","HSD17B7",-0.18005535852582,0.00404714559388504,0.0418152140837481
"MCTP2","MCTP2","ENSG00000140563.14","multiple C2 and transmembrane domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25636]","MCTP2",-0.182720742731055,0.00304233192556997,0.0370126567053209
"IFT172","IFT172","ENSG00000138002.14","intraflagellar transport 172 [Source:HGNC Symbol;Acc:HGNC:30391]","IFT172",-0.183038140357852,5.65510249165569e-05,0.00824629764775351
"LNPK","LNPK","ENSG00000144320.13","lunapark, ER junction formation factor [Source:HGNC Symbol;Acc:HGNC:21610]","LNPK",-0.183362996550583,0.00320756286294493,0.0378396669682339
"ATP6V1C1","ATP6V1C1","ENSG00000155097.11","ATPase H+ transporting V1 subunit C1 [Source:HGNC Symbol;Acc:HGNC:856]","ATP6V1C1",-0.183674712997167,0.00254737975142749,0.0348323260320228
"LMBRD2","LMBRD2","ENSG00000164187.6","LMBR1 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25287]","LMBRD2",-0.184312846777455,0.00382637896114118,0.0410362270133784
"TBRG4","TBRG4","ENSG00000136270.13","transforming growth factor beta regulator 4 [Source:HGNC Symbol;Acc:HGNC:17443]","TBRG4",-0.18481636328369,0.00308137441397792,0.0371458332998785
"KLHL36","KLHL36","ENSG00000135686.12","kelch like family member 36 [Source:HGNC Symbol;Acc:HGNC:17844]","KLHL36",-0.185511786009983,0.00106843296185693,0.0259842896323606
"DYNC1I2","DYNC1I2","ENSG00000077380.15","dynein cytoplasmic 1 intermediate chain 2 [Source:HGNC Symbol;Acc:HGNC:2964]","DYNC1I2",-0.185561364276859,0.0019455068668711,0.0312546469019292
"MGAT4B","MGAT4B","ENSG00000161013.16","mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isozyme B [Source:HGNC Symbol;Acc:HGNC:7048]","MGAT4B",-0.185563002086698,0.00500254067273279,0.0457929774511056
"WASF2","WASF2","ENSG00000158195.10","WAS protein family member 2 [Source:HGNC Symbol;Acc:HGNC:12733]","WASF2",-0.185567535289272,0.000688993882004329,0.0218946617647102
"MMAA","MMAA","ENSG00000151611.13","methylmalonic aciduria (cobalamin deficiency) cblA type [Source:HGNC Symbol;Acc:HGNC:18871]","MMAA",-0.18628947099855,0.00350987332853838,0.039239104456744
"MBTPS1","MBTPS1","ENSG00000140943.16","membrane bound transcription factor peptidase, site 1 [Source:HGNC Symbol;Acc:HGNC:15456]","MBTPS1",-0.187699710473205,0.00120936880988796,0.0272331939411807
"ATP6V1A","ATP6V1A","ENSG00000114573.9","ATPase H+ transporting V1 subunit A [Source:HGNC Symbol;Acc:HGNC:851]","ATP6V1A",-0.187761349655478,0.0046175419423374,0.0442388503178604
"ENO2","ENO2","ENSG00000111674.8","enolase 2 [Source:HGNC Symbol;Acc:HGNC:3353]","ENO2",-0.188935609943627,0.00177008405309587,0.0301325007664198
"DMD","DMD","ENSG00000198947.15","dystrophin [Source:HGNC Symbol;Acc:HGNC:2928]","DMD",-0.189393390500004,0.000982972239007911,0.0252834585205844
"APPL1","APPL1","ENSG00000157500.10","adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 1 [Source:HGNC Symbol;Acc:HGNC:24035]","APPL1",-0.189412619488165,0.00592651519766942,0.0497111137790062
"SMARCC1","SMARCC1","ENSG00000173473.10","SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 1 [Source:HGNC Symbol;Acc:HGNC:11104]","SMARCC1",-0.190470213023132,0.00231200581380435,0.0335920844711573
"PEPD","PEPD","ENSG00000124299.13","peptidase D [Source:HGNC Symbol;Acc:HGNC:8840]","PEPD",-0.191246230995376,0.00223616908624599,0.032878935009104
"LCP1","LCP1","ENSG00000136167.13","lymphocyte cytosolic protein 1 [Source:HGNC Symbol;Acc:HGNC:6528]","LCP1",-0.191767190831926,0.00571297890649466,0.048599204635703
"ANXA5","ANXA5","ENSG00000164111.14","annexin A5 [Source:HGNC Symbol;Acc:HGNC:543]","ANXA5",-0.193041512438863,0.00147936096830281,0.0287547862105606
"VRK3","VRK3","ENSG00000105053.10","vaccinia related kinase 3 [Source:HGNC Symbol;Acc:HGNC:18996]","VRK3",-0.194656789324745,0.00253585247880467,0.0348323260320228
"NEBL","NEBL","ENSG00000078114.18","nebulette [Source:HGNC Symbol;Acc:HGNC:16932]","NEBL",-0.194754915249473,0.00299321268599316,0.0367256006483938
"JAK1","JAK1","ENSG00000162434.11","Janus kinase 1 [Source:HGNC Symbol;Acc:HGNC:6190]","JAK1",-0.19510224831626,0.000888189578493079,0.0242469704947913
"ROBO1","ROBO1","ENSG00000169855.19","roundabout guidance receptor 1 [Source:HGNC Symbol;Acc:HGNC:10249]","ROBO1",-0.195556100725863,0.00504823942470299,0.0459163226845252
"NDC80","NDC80","ENSG00000080986.12","NDC80, kinetochore complex component [Source:HGNC Symbol;Acc:HGNC:16909]","NDC80",-0.196061714527546,0.00134946905026902,0.0278490949695205
"MYEF2","MYEF2","ENSG00000104177.17","myelin expression factor 2 [Source:HGNC Symbol;Acc:HGNC:17940]","MYEF2",-0.196526674905291,0.00553230554959057,0.0481048878591462
"SMARCA2","SMARCA2","ENSG00000080503.22","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2 [Source:HGNC Symbol;Acc:HGNC:11098]","SMARCA2",-0.197511826573833,0.00535859133635947,0.04737618112146
"RASAL1","RASAL1","ENSG00000111344.11","RAS protein activator like 1 [Source:HGNC Symbol;Acc:HGNC:9873]","RASAL1",-0.19781032616092,0.00408172707592909,0.0419224789193892
"GLS","GLS","ENSG00000115419.12","glutaminase [Source:HGNC Symbol;Acc:HGNC:4331]","GLS",-0.198005976412472,0.00522475028119857,0.0469860600304228
"ZDHHC20","ZDHHC20","ENSG00000180776.15","zinc finger DHHC-type containing 20 [Source:HGNC Symbol;Acc:HGNC:20749]","ZDHHC20",-0.198698945610127,0.00408404716193443,0.0419224789193892
"SPR","SPR","ENSG00000116096.5","sepiapterin reductase [Source:HGNC Symbol;Acc:HGNC:11257]","SPR",-0.198784203074616,0.00398712453065024,0.04163042574671
"AMN1","AMN1","ENSG00000151743.10","antagonist of mitotic exit network 1 homolog [Source:HGNC Symbol;Acc:HGNC:27281]","AMN1",-0.198823590080243,0.000404977489977448,0.0163844618691239
"CHCHD6","CHCHD6","ENSG00000159685.10","coiled-coil-helix-coiled-coil-helix domain containing 6 [Source:HGNC Symbol;Acc:HGNC:28184]","CHCHD6",-0.199196840198586,0.00040400131095214,0.0163844618691239
"NEIL2","NEIL2","ENSG00000154328.15","nei like DNA glycosylase 2 [Source:HGNC Symbol;Acc:HGNC:18956]","NEIL2",-0.199267171368625,0.00128573995156957,0.0276156865358807
"GCAT","GCAT","ENSG00000100116.16","glycine C-acetyltransferase [Source:HGNC Symbol;Acc:HGNC:4188]","GCAT",-0.199468249004716,0.000356558612622229,0.0161967774377362
"GAPDH","GAPDH","ENSG00000111640.14","glyceraldehyde-3-phosphate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4141]","GAPDH",-0.199532306478538,0.00316971371969626,0.0376177436043231
"SELENBP1","SELENBP1","ENSG00000143416.20","selenium binding protein 1 [Source:HGNC Symbol;Acc:HGNC:10719]","SELENBP1",-0.200768269476006,0.00275095075138333,0.0356986858595375
"ALAD","ALAD","ENSG00000148218.15","aminolevulinate dehydratase [Source:HGNC Symbol;Acc:HGNC:395]","ALAD",-0.201057207519755,0.00242332608687112,0.0343746106849188
"XIAP","XIAP","ENSG00000101966.12","X-linked inhibitor of apoptosis [Source:HGNC Symbol;Acc:HGNC:592]","XIAP",-0.201826785162798,0.000386232650634871,0.0163817029321557
"TRIOBP","TRIOBP","ENSG00000100106.19","TRIO and F-actin binding protein [Source:HGNC Symbol;Acc:HGNC:17009]","TRIOBP",-0.201853527092995,0.0024413881790265,0.0344584502982597
"ADSS","ADSS","ENSG00000035687.9","adenylosuccinate synthase [Source:HGNC Symbol;Acc:HGNC:292]","ADSS",-0.20204659979321,0.00491142733301974,0.0456168291894101
"ZWINT","ZWINT","ENSG00000122952.16","ZW10 interacting kinetochore protein [Source:HGNC Symbol;Acc:HGNC:13195]","ZWINT",-0.203681089285802,0.0016798529193915,0.0299630841104687
"ICA1","ICA1","ENSG00000003147.17","islet cell autoantigen 1 [Source:HGNC Symbol;Acc:HGNC:5343]","ICA1",-0.203822083737079,0.00197873597873442,0.0315041909849519
"IRF2BP2","IRF2BP2","ENSG00000168264.10","interferon regulatory factor 2 binding protein 2 [Source:HGNC Symbol;Acc:HGNC:21729]","IRF2BP2",-0.204406348507657,0.00533057362372657,0.0473108923554488
"ADGRL2","ADGRL2","ENSG00000117114.19","adhesion G protein-coupled receptor L2 [Source:HGNC Symbol;Acc:HGNC:18582]","ADGRL2",-0.204908717473797,0.000551811134726332,0.0189631096038127
"SHC1","SHC1","ENSG00000160691.18","SHC adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:10840]","SHC1",-0.204984256804039,0.00296065204880667,0.0366786736579435
"TRIM2","TRIM2","ENSG00000109654.14","tripartite motif containing 2 [Source:HGNC Symbol;Acc:HGNC:15974]","TRIM2",-0.20517564376473,0.00018477709921521,0.0124827195914276
"WDR35","WDR35","ENSG00000118965.14","WD repeat domain 35 [Source:HGNC Symbol;Acc:HGNC:29250]","WDR35",-0.205764655825521,0.00231775051613195,0.0336137616137742
"ABLIM1","ABLIM1","ENSG00000099204.18","actin binding LIM protein 1 [Source:HGNC Symbol;Acc:HGNC:78]","ABLIM1",-0.205787769277992,0.00141882109933463,0.0283864645710542
"CAVIN3","CAVIN3","ENSG00000170955.9","caveolae associated protein 3 [Source:HGNC Symbol;Acc:HGNC:9400]","CAVIN3",-0.20587266017708,0.00540326242657389,0.0475054351720134
"TPP1","TPP1","ENSG00000166340.15","tripeptidyl peptidase 1 [Source:HGNC Symbol;Acc:HGNC:2073]","TPP1",-0.206457983245453,0.00581192843454208,0.049130997162161
"USE1","USE1","ENSG00000053501.12","unconventional SNARE in the ER 1 [Source:HGNC Symbol;Acc:HGNC:30882]","USE1",-0.206459848536122,0.00498066949926712,0.0457929774511056
"ANK2","ANK2","ENSG00000145362.17","ankyrin 2 [Source:HGNC Symbol;Acc:HGNC:493]","ANK2",-0.20757109902913,0.00109856484137936,0.0264132276120515
"DOPEY2","DOPEY2","ENSG00000142197.12","dopey family member 2 [Source:HGNC Symbol;Acc:HGNC:1291]","DOPEY2",-0.207917326135524,0.00501423094584202,0.0457929774511056
"CROT","CROT","ENSG00000005469.11","carnitine O-octanoyltransferase [Source:HGNC Symbol;Acc:HGNC:2366]","CROT",-0.208040295292711,0.0058936676410579,0.0496583235523303
"EPM2AIP1","EPM2AIP1","ENSG00000178567.7","EPM2A interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:19735]","EPM2AIP1",-0.208510614820831,0.0016247036860877,0.0298384540651504
"IDE","IDE","ENSG00000119912.15","insulin degrading enzyme [Source:HGNC Symbol;Acc:HGNC:5381]","IDE",-0.208674423640422,0.000583922500758927,0.0195619103478799
"RBBP9","RBBP9","ENSG00000089050.15","RB binding protein 9, serine hydrolase [Source:HGNC Symbol;Acc:HGNC:9892]","RBBP9",-0.208925339139404,0.00252307473995079,0.0348323260320228
"TBC1D22B","TBC1D22B","ENSG00000065491.8","TBC1 domain family member 22B [Source:HGNC Symbol;Acc:HGNC:21602]","TBC1D22B",-0.209196389119021,0.000251617898837764,0.0141048785277567
"HYKK","HYKK","ENSG00000188266.13","hydroxylysine kinase [Source:HGNC Symbol;Acc:HGNC:34403]","HYKK",-0.209848109555559,0.000785867572268459,0.0231044483047185
"CDC42EP4","CDC42EP4","ENSG00000179604.9","CDC42 effector protein 4 [Source:HGNC Symbol;Acc:HGNC:17147]","CDC42EP4",-0.210258615029887,0.00340240675557623,0.0387734315637176
"DDAH2","DDAH2","ENSG00000225635.7","dimethylarginine dimethylaminohydrolase 2 [Source:HGNC Symbol;Acc:HGNC:2716]","DDAH2",-0.210586959184804,0.00175334700628419,0.0301325007664198
"CAMK2D","CAMK2D","ENSG00000145349.16","calcium/calmodulin dependent protein kinase II delta [Source:HGNC Symbol;Acc:HGNC:1462]","CAMK2D",-0.210730878185201,0.000382400652960723,0.0163633545158355
"NUMB","NUMB","ENSG00000133961.19","NUMB, endocytic adaptor protein [Source:HGNC Symbol;Acc:HGNC:8060]","NUMB",-0.210836266812723,0.00377474904734305,0.0407109359520851
"CAPN5","CAPN5","ENSG00000149260.15","calpain 5 [Source:HGNC Symbol;Acc:HGNC:1482]","CAPN5",-0.211078441909677,0.00284232072400297,0.0361726016588108
"ALDH2","ALDH2","ENSG00000111275.12","aldehyde dehydrogenase 2 family (mitochondrial) [Source:HGNC Symbol;Acc:HGNC:404]","ALDH2",-0.211121117763419,0.000637386423562346,0.0208341378675832
"INO80C","INO80C","ENSG00000153391.15","INO80 complex subunit C [Source:HGNC Symbol;Acc:HGNC:26994]","INO80C",-0.211256734534095,0.00218690474124313,0.032762530384123
"UBR7","UBR7","ENSG00000012963.14","ubiquitin protein ligase E3 component n-recognin 7 (putative) [Source:HGNC Symbol;Acc:HGNC:20344]","UBR7",-0.212934055058868,0.00439716718728446,0.0433362510810529
"SYAP1","SYAP1","ENSG00000169895.5","synapse associated protein 1 [Source:HGNC Symbol;Acc:HGNC:16273]","SYAP1",-0.213026072691097,0.00569284103731958,0.0485920254416565
"DYNLL1","DYNLL1","ENSG00000088986.10","dynein light chain LC8-type 1 [Source:HGNC Symbol;Acc:HGNC:15476]","DYNLL1",-0.213474354038957,0.0049062563146284,0.0456168291894101
"IRAK1","IRAK1","ENSG00000184216.13","interleukin 1 receptor associated kinase 1 [Source:HGNC Symbol;Acc:HGNC:6112]","IRAK1",-0.214179040089928,0.00201866420617499,0.0319110437712142
"STK17B","STK17B","ENSG00000081320.10","serine/threonine kinase 17b [Source:HGNC Symbol;Acc:HGNC:11396]","STK17B",-0.214342722170071,0.00350987434854732,0.039239104456744
"ASL","ASL","ENSG00000126522.16","argininosuccinate lyase [Source:HGNC Symbol;Acc:HGNC:746]","ASL",-0.216815334874408,0.00529540316842142,0.0471869973429571
"OSBPL1A","OSBPL1A","ENSG00000141447.17","oxysterol binding protein like 1A [Source:HGNC Symbol;Acc:HGNC:16398]","OSBPL1A",-0.217009667262326,0.00131843414311792,0.0276268241842198
"ARHGAP10","ARHGAP10","ENSG00000071205.11","Rho GTPase activating protein 10 [Source:HGNC Symbol;Acc:HGNC:26099]","ARHGAP10",-0.217222699990363,0.000230340903325985,0.0136262526768285
"PRDX5","PRDX5","ENSG00000126432.13","peroxiredoxin 5 [Source:HGNC Symbol;Acc:HGNC:9355]","PRDX5",-0.217936688540485,0.000985235984860831,0.0252834585205844
"NEXN","NEXN","ENSG00000162614.18","nexilin F-actin binding protein [Source:HGNC Symbol;Acc:HGNC:29557]","NEXN",-0.218185774565331,0.00438813602580375,0.0433362510810529
"MYO6","MYO6","ENSG00000196586.13","myosin VI [Source:HGNC Symbol;Acc:HGNC:7605]","MYO6",-0.219646565058689,0.00258689289281314,0.0349146825053385
"ALDH6A1","ALDH6A1","ENSG00000119711.12","aldehyde dehydrogenase 6 family member A1 [Source:HGNC Symbol;Acc:HGNC:7179]","ALDH6A1",-0.219777121888613,0.00432066652318585,0.0429566644015861
"PIK3C2A","PIK3C2A","ENSG00000011405.13","phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha [Source:HGNC Symbol;Acc:HGNC:8971]","PIK3C2A",-0.222256627181103,0.00216959623235779,0.032762530384123
"SMAD2","SMAD2","ENSG00000175387.15","SMAD family member 2 [Source:HGNC Symbol;Acc:HGNC:6768]","SMAD2",-0.22267635559155,0.0052347167364005,0.0469860600304228
"GTF2I","GTF2I","ENSG00000263001.5","general transcription factor IIi [Source:HGNC Symbol;Acc:HGNC:4659]","GTF2I",-0.225076873127426,0.0022897273692222,0.0333998037794413
"ACTR3","ACTR3","ENSG00000115091.11","ARP3 actin related protein 3 homolog [Source:HGNC Symbol;Acc:HGNC:170]","ACTR3",-0.225117028826723,0.00423743999082608,0.0424078061503561
"BRK1","BRK1","ENSG00000254999.3","BRICK1, SCAR/WAVE actin nucleating complex subunit [Source:HGNC Symbol;Acc:HGNC:23057]","BRK1",-0.225155935310982,0.0032460016127892,0.038009476662942
"NAA16","NAA16","ENSG00000172766.18","N(alpha)-acetyltransferase 16, NatA auxiliary subunit [Source:HGNC Symbol;Acc:HGNC:26164]","NAA16",-0.22582109877864,0.000891724070581032,0.0242469704947913
"HMGCR","HMGCR","ENSG00000113161.15","3-hydroxy-3-methylglutaryl-CoA reductase [Source:HGNC Symbol;Acc:HGNC:5006]","HMGCR",-0.226396652392954,0.000652282427856531,0.02121662678921
"SRR","SRR","ENSG00000167720.12","serine racemase [Source:HGNC Symbol;Acc:HGNC:14398]","SRR",-0.226804380161249,0.00480179950294459,0.0451654648046123
"NADSYN1","NADSYN1","ENSG00000172890.11","NAD synthetase 1 [Source:HGNC Symbol;Acc:HGNC:29832]","NADSYN1",-0.227128655938355,0.00438814643980488,0.0433362510810529
"ATP11C","ATP11C","ENSG00000101974.14","ATPase phospholipid transporting 11C [Source:HGNC Symbol;Acc:HGNC:13554]","ATP11C",-0.227270270309375,0.00101641254263253,0.0255038880538652
"ABCA3","ABCA3","ENSG00000167972.13","ATP binding cassette subfamily A member 3 [Source:HGNC Symbol;Acc:HGNC:33]","ABCA3",-0.228427022128134,0.000539293108555638,0.01879561288619
"CORO1B","CORO1B","ENSG00000172725.13","coronin 1B [Source:HGNC Symbol;Acc:HGNC:2253]","CORO1B",-0.230384709249747,0.00436121869594985,0.0431968327979794
"LTA4H","LTA4H","ENSG00000111144.9","leukotriene A4 hydrolase [Source:HGNC Symbol;Acc:HGNC:6710]","LTA4H",-0.231664972099705,0.000382998555848883,0.0163633545158355
"ARPC5","ARPC5","ENSG00000162704.15","actin related protein 2/3 complex subunit 5 [Source:HGNC Symbol;Acc:HGNC:708]","ARPC5",-0.231966491132886,0.000737235323946018,0.0228514039234091
"GALT","GALT","ENSG00000213930.11","galactose-1-phosphate uridylyltransferase [Source:HGNC Symbol;Acc:HGNC:4135]","GALT",-0.233607845354819,0.00320136843608076,0.0378396669682339
"NCOR1","NCOR1","ENSG00000141027.20","nuclear receptor corepressor 1 [Source:HGNC Symbol;Acc:HGNC:7672]","NCOR1",-0.233663202551432,0.00259205460935968,0.0349146825053385
"NMNAT1","NMNAT1","ENSG00000173614.13","nicotinamide nucleotide adenylyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:17877]","NMNAT1",-0.233991443363745,0.00564459162536393,0.0483367846228348
"CDC42BPA","CDC42BPA","ENSG00000143776.18","CDC42 binding protein kinase alpha [Source:HGNC Symbol;Acc:HGNC:1737]","CDC42BPA",-0.234475820387945,0.00328961801782479,0.0382932854387145
"MAN1A2","MAN1A2","ENSG00000198162.12","mannosidase alpha class 1A member 2 [Source:HGNC Symbol;Acc:HGNC:6822]","MAN1A2",-0.234953233656052,0.003935588148176,0.041420624132068
"TRMT112","TRMT112","ENSG00000173113.6","tRNA methyltransferase subunit 11-2 [Source:HGNC Symbol;Acc:HGNC:26940]","TRMT112",-0.234968937998053,0.000448411659134789,0.0167582622574763
"MAN2B1","MAN2B1","ENSG00000104774.12","mannosidase alpha class 2B member 1 [Source:HGNC Symbol;Acc:HGNC:6826]","MAN2B1",-0.235210698715454,0.00496910029566845,0.0457929774511056
"TP53I3","TP53I3","ENSG00000115129.13","tumor protein p53 inducible protein 3 [Source:HGNC Symbol;Acc:HGNC:19373]","TP53I3",-0.236929907254179,0.00155445136742656,0.029463749659807
"CCDC90B","CCDC90B","ENSG00000137500.9","coiled-coil domain containing 90B [Source:HGNC Symbol;Acc:HGNC:28108]","CCDC90B",-0.237097749649758,0.00028424669186995,0.0147808279772374
"SOGA1","SOGA1","ENSG00000149639.14","suppressor of glucose, autophagy associated 1 [Source:HGNC Symbol;Acc:HGNC:16111]","SOGA1",-0.237328828420052,0.000418644297457967,0.0166534740211677
"TBC1D15","TBC1D15","ENSG00000121749.15","TBC1 domain family member 15 [Source:HGNC Symbol;Acc:HGNC:25694]","TBC1D15",-0.23798017290943,0.0045201309387301,0.0438885368735184
"FARP1","FARP1","ENSG00000152767.16","FERM, ARH/RhoGEF and pleckstrin domain protein 1 [Source:HGNC Symbol;Acc:HGNC:3591]","FARP1",-0.238844507427321,0.00290221404992815,0.0362387043453903
"EFCAB14","EFCAB14","ENSG00000159658.10","EF-hand calcium binding domain 14 [Source:HGNC Symbol;Acc:HGNC:29051]","EFCAB14",-0.241025547691221,0.00519244341261388,0.0469494886317131
"CDC37L1","CDC37L1","ENSG00000106993.11","cell division cycle 37 like 1 [Source:HGNC Symbol;Acc:HGNC:17179]","CDC37L1",-0.241291690915546,0.00146898785830216,0.0287398020594561
"MYOM1","MYOM1","ENSG00000101605.12","myomesin 1 [Source:HGNC Symbol;Acc:HGNC:7613]","MYOM1",-0.241590768680594,0.00211890462294309,0.0323942401155555
"STX7","STX7","ENSG00000079950.13","syntaxin 7 [Source:HGNC Symbol;Acc:HGNC:11442]","STX7",-0.242551634925658,0.0017895128607442,0.0301954723352916
"HEATR5B","HEATR5B","ENSG00000008869.11","HEAT repeat containing 5B [Source:HGNC Symbol;Acc:HGNC:29273]","HEATR5B",-0.242571948567727,0.00191573747675048,0.0308955685142815
"ADH5","ADH5","ENSG00000197894.10","alcohol dehydrogenase 5 (class III), chi polypeptide [Source:HGNC Symbol;Acc:HGNC:253]","ADH5",-0.243694191785845,5.7381878874803e-05,0.00824629764775351
"FASN","FASN","ENSG00000169710.8","fatty acid synthase [Source:HGNC Symbol;Acc:HGNC:3594]","FASN",-0.244221428111443,0.00220867272114645,0.0328763638190989
"GBE1","GBE1","ENSG00000114480.12","1,4-alpha-glucan branching enzyme 1 [Source:HGNC Symbol;Acc:HGNC:4180]","GBE1",-0.244734351865228,0.000762860892876763,0.0230139408293814
"MAGED1","MAGED1","ENSG00000179222.17","MAGE family member D1 [Source:HGNC Symbol;Acc:HGNC:6813]","MAGED1",-0.245658217487237,0.00183409059265662,0.0304551513536931
"WDR91","WDR91","ENSG00000105875.13","WD repeat domain 91 [Source:HGNC Symbol;Acc:HGNC:24997]","WDR91",-0.245806762804739,0.00127012379700016,0.0276156865358807
"PDZD8","PDZD8","ENSG00000165650.11","PDZ domain containing 8 [Source:HGNC Symbol;Acc:HGNC:26974]","PDZD8",-0.246082975939289,0.0017621560097101,0.0301325007664198
"MTMR2","MTMR2","ENSG00000087053.18","myotubularin related protein 2 [Source:HGNC Symbol;Acc:HGNC:7450]","MTMR2",-0.246348129940537,0.00161917568396603,0.0298384540651504
"IST1","IST1","ENSG00000182149.20","IST1, ESCRT-III associated factor [Source:HGNC Symbol;Acc:HGNC:28977]","IST1",-0.246654002658501,0.00385163331572238,0.0411697761952279
"SNX4","SNX4","ENSG00000114520.10","sorting nexin 4 [Source:HGNC Symbol;Acc:HGNC:11175]","SNX4",-0.247455964901303,0.000238891737343427,0.0137824838829376
"PRKAR2A","PRKAR2A","ENSG00000114302.15","protein kinase cAMP-dependent type II regulatory subunit alpha [Source:HGNC Symbol;Acc:HGNC:9391]","PRKAR2A",-0.247849295851692,0.00229032055268942,0.0333998037794413
"LDAH","LDAH","ENSG00000118961.14","lipid droplet associated hydrolase [Source:HGNC Symbol;Acc:HGNC:26145]","LDAH",-0.248473964859534,0.00171469189094924,0.0300065678583095
"ANXA2","ANXA2","ENSG00000182718.16","annexin A2 [Source:HGNC Symbol;Acc:HGNC:537]","ANXA2",-0.248964383436523,0.000428767872594122,0.0167582622574763
"ERBB2","ERBB2","ENSG00000141736.13","erb-b2 receptor tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:3430]","ERBB2",-0.249331284076049,0.00171596263562195,0.0300065678583095
"MYO5B","MYO5B","ENSG00000167306.19","myosin VB [Source:HGNC Symbol;Acc:HGNC:7603]","MYO5B",-0.252443294708915,0.00128807867842598,0.0276156865358807
"NEO1","NEO1","ENSG00000067141.16","neogenin 1 [Source:HGNC Symbol;Acc:HGNC:7754]","NEO1",-0.252549208861164,0.000873541348754923,0.0242262134054699
"FER","FER","ENSG00000151422.12","FER tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3655]","FER",-0.252852350246863,0.00429704081080282,0.0428295215240675
"CRTC1","CRTC1","ENSG00000105662.15","CREB regulated transcription coactivator 1 [Source:HGNC Symbol;Acc:HGNC:16062]","CRTC1",-0.253235755185762,0.00101287594287105,0.0254960874281936
"APLP2","APLP2","ENSG00000084234.16","amyloid beta precursor like protein 2 [Source:HGNC Symbol;Acc:HGNC:598]","APLP2",-0.253600012865466,0.00339888572516407,0.0387734315637176
